0.000000 0.000570 0.000000
0.000570 0.001139 0.000000
0.001139 0.001709 0.000000
0.001709 0.002279 0.000000
0.002279 0.002849 0.000000
0.002849 0.003418 0.000000
0.003418 0.003988 0.000000
0.003988 0.004558 0.000000
0.004558 0.005127 0.000000
0.005127 0.005697 0.000000
0.005697 0.006267 0.000000
0.006267 0.006837 0.000000
0.006837 0.007406 0.000000
0.007406 0.007976 0.000000
0.007976 0.008546 0.000000
0.008546 0.009115 0.000000
0.009115 0.009685 0.000000
0.009685 0.010255 0.000000
0.010255 0.010825 0.000000
0.010825 0.011394 0.000000
