0.000000 0.011832 0.000000
0.011832 0.023663 0.000000
0.023663 0.035495 0.000000
0.035495 0.047327 0.000000
0.047327 0.059158 0.000000
0.059158 0.070990 0.000000
0.070990 0.082822 0.000000
0.082822 0.094653 0.000000
0.094653 0.106485 0.000000
0.106485 0.118317 0.000000
0.118317 0.130148 0.000000
0.130148 0.141980 0.000000
0.141980 0.153812 0.000000
0.153812 0.165643 0.000000
0.165643 0.177475 0.000000
0.177475 0.189307 0.000000
0.189307 0.201138 0.000000
0.201138 0.212970 0.000000
0.212970 0.224801 0.000000
0.224801 0.236633 0.000000
