0	100	1000	100	3000	0.000	0.000
1	256	1001	227	3000	0.000	0.000
2	618	1002	528	3000	0.000	0.000
3	815	1003	1295	3000	0.000	0.000
4	575	1004	2394	3000	0.000	0.000
5	549	1005	1855	3000	0.000	0.000
6	527	1006	1725	3000	0.000	0.000
7	531	1007	1516	3000	0.000	0.000
8	574	1008	1655	3000	0.000	0.000
9	554	1009	1702	3000	0.000	0.000
10	561	1010	1573	3000	0.000	0.000
11	544	1011	1677	3000	0.000	0.000
12	538	1012	1640	3000	0.000	0.000
13	543	1013	1624	3000	0.000	0.000
14	549	1014	1614	3000	0.000	0.000
15	565	1015	1688	3000	0.000	0.000
16	542	1016	1611	3000	0.000	0.000
17	555	1017	1656	3000	0.000	0.000
18	549	1018	1668	3000	0.000	0.000
19	552	1019	1592	3000	0.000	0.000
20	548	1020	1602	3000	0.000	0.000
21	573	1021	1650	3000	0.000	0.000
22	545	1022	1635	3000	0.000	0.000
23	551	1023	1637	3000	0.000	0.000
24	547	1024	1658	3000	0.000	0.000
25	590	1025	1649	3000	0.000	0.000
26	562	1026	1652	3000	0.000	0.000
27	575	1027	1667	3000	0.000	0.000
28	555	1028	1624	3000	0.000	0.000
29	554	1029	1586	3000	0.000	0.000
30	561	1030	1607	3000	0.000	0.000
31	540	1031	1610	3000	0.000	0.000
32	568	1032	1626	3000	0.000	0.000
33	553	1033	1672	3000	0.000	0.000
34	568	1034	1640	3000	0.000	0.000
35	562	1035	1603	3000	0.000	0.000
36	544	1036	1686	3000	0.000	0.000
37	565	1037	1610	3000	0.000	0.000
38	562	1038	1668	3000	0.000	0.000
39	559	1039	1646	3000	0.000	0.000
40	575	1040	1612	3000	0.000	0.000
41	563	1041	1622	3000	0.000	0.000
42	558	1042	1576	3000	0.000	0.000
43	554	1043	1714	3000	0.000	0.000
44	594	1044	1640	3000	0.000	0.000
45	574	1045	1601	3000	0.000	0.000
46	550	1046	1636	3000	0.000	0.000
47	588	1047	1701	3000	0.000	0.000
48	550	1048	1645	3000	0.000	0.000
49	591	1049	1623	3000	0.000	0.000
50	538	1050	1632	3000	0.000	0.000
51	579	1051	1632	3000	0.000	0.000
52	585	1052	1627	3000	0.000	0.000
53	534	1053	1569	3000	0.000	0.000
54	575	1054	1634	3000	0.000	0.000
55	583	1055	1661	3000	0.000	0.000
56	570	1056	1616	3000	0.000	0.000
57	587	1057	1668	3000	0.000	0.000
58	582	1058	1615	3000	0.000	0.000
59	596	1059	1648	3000	0.000	0.000
60	565	1060	1652	3000	0.000	0.000
61	577	1061	1631	3000	0.000	0.000
62	596	1062	1606	3000	0.000	0.000
63	567	1063	1623	3000	0.000	0.000
64	596	1064	1644	3000	0.000	0.000
65	562	1065	1630	3000	0.000	0.000
66	601	1066	1580	3000	0.000	0.000
67	560	1067	1672	3000	0.000	0.000
68	566	1068	1631	3000	0.000	0.000
69	558	1069	1619	3000	0.000	0.000
70	589	1070	1665	3000	0.000	0.000
71	558	1071	1623	3000	0.000	0.000
72	587	1072	1619	3000	0.000	0.000
73	603	1073	1637	3000	0.000	0.000
74	588	1074	1631	3000	0.000	0.000
75	606	1075	1661	3000	0.000	0.000
76	572	1076	1597	3000	0.000	0.000
77	604	1077	1616	3000	0.000	0.000
78	594	1078	1692	3000	0.000	0.000
79	597	1079	1588	3000	0.000	0.000
80	590	1080	1665	3000	0.000	0.000
81	584	1081	1631	3000	0.000	0.000
82	596	1082	1590	3000	0.000	0.000
83	555	1083	1653	3000	0.000	0.000
84	605	1084	1603	3000	0.000	0.000
85	607	1085	1648	3000	0.000	0.000
86	577	1086	1611	3000	0.000	0.000
87	600	1087	1616	3000	0.000	0.000
88	586	1088	1618	3000	0.000	0.000
89	603	1089	1636	3000	0.000	0.000
90	596	1090	1670	3000	0.000	0.000
91	577	1091	1576	3000	0.000	0.000
92	608	1092	1653	3000	0.000	0.000
93	590	1093	1604	3000	0.000	0.000
94	611	1094	1603	3000	0.000	0.000
95	612	1095	1611	3000	0.000	0.000
96	585	1096	1661	3000	0.000	0.000
97	603	1097	1653	3000	0.000	0.000
98	577	1098	1604	3000	0.000	0.000
99	614	1099	1663	3000	0.000	0.000
100	591	1100	1616	3000	0.000	0.000
101	626	1101	1662	3000	0.000	0.000
102	577	1102	1648	3000	0.000	0.000
103	605	1103	1651	3000	0.000	0.000
104	605	1104	1665	3000	0.000	0.000
105	605	1105	1632	3000	0.000	0.000
106	625	1106	1650	3000	0.000	0.000
107	601	1107	1610	3000	0.000	0.000
108	617	1108	1635	3000	0.000	0.000
109	597	1109	1651	3000	0.000	0.000
110	615	1110	1658	3000	0.000	0.000
111	595	1111	1662	3000	0.000	0.000
112	603	1112	1643	3000	0.000	0.000
113	611	1113	1622	3000	0.000	0.000
114	589	1114	1663	3000	0.000	0.000
115	606	1115	1671	3000	0.000	0.000
116	630	1116	1637	3000	0.000	0.000
117	621	1117	1628	3000	0.000	0.000
118	580	1118	1640	3000	0.000	0.000
119	638	1119	1649	3000	0.000	0.000
120	599	1120	1639	3000	0.000	0.000
121	614	1121	1640	3000	0.000	0.000
122	606	1122	1608	3000	0.000	0.000
123	626	1123	1641	3000	0.000	0.000
124	594	1124	1638	3000	0.000	0.000
125	624	1125	1666	3000	0.000	0.000
126	615	1126	1619	3000	0.000	0.000
127	584	1127	1583	3000	0.000	0.000
128	635	1128	1642	3000	0.000	0.000
129	615	1129	1658	3000	0.000	0.000
130	619	1130	1621	3000	0.000	0.000
131	633	1131	1661	3000	0.000	0.000
132	595	1132	1604	3000	0.000	0.000
